Box,Rowwise position,ID,Experiment,Flask,Mass,Treatment,Chemical,Sampled,Day
1,49,1_1_55,1,1,15.02042,Control,0,27.06.24,55
1,50,1_2_55,1,2,15.01561,Sulphate,40,27.06.24,55
1,51,1_3_55,1,3,15.00891,Iron,72,27.06.24,55
1,52,1_4_55,1,4,15.00198,Control,0,27.06.24,55
1,53,1_5_55,1,5,14.99772,Sulphate,40,27.06.24,55
1,54,1_6_55,1,6,15.01134,Iron,72,27.06.24,55
1,55,1_3_62,1,3,15.00891,Iron,72,04.07.24,62
1,56,1_6_62,1,6,15.01134,Iron,72,04.07.24,62
1,57,1_3_76,1,3,15.00891,Iron,72,18.07.24,76
1,58,1_6_76,1,6,15.01134,Iron,72,18.07.24,76
1,59,1_1_90,1,1,15.02042,Control,0,01.08.24,90
1,60,1_2_90,1,2,15.01561,Sulphate,40,01.08.24,90
1,61,1_6_90,1,6,15.01134,Iron,72,01.08.24,90
1,62,2_1_1,2,1,10.00387,Control,0,27.06.24,1
1,63,2_2_1,2,2,10.00521,Control,0,27.06.24,1
1,64,2_3_1,2,3,9.99834,Sulphate,27,27.06.24,1
1,65,2_4_1,2,4,9.99669,Sulfur,19,27.06.24,1
1,66,2_5_1,2,5,0,Blank,0,27.06.24,1
1,67,2_6_1,2,6,0,Blank,0,27.06.24,1
1,68,2_7_1,2,7,10.00193,Sulphate,27,27.06.24,1
1,69,2_8_1,2,8,10.00358,Sulfur,19,27.06.24,1
1,70,2_1_8,2,1,10.00387,Control,0,04.07.24,8
1,71,2_2_8,2,2,10.00521,Control,0,04.07.24,8
1,72,2_3_8,2,3,9.99834,Sulphate,27,04.07.24,8
1,73,2_4_8,2,4,9.99669,Sulfur,19,04.07.24,8
1,74,2_5_8,2,5,0,Blank,0,04.07.24,8
1,75,2_6_8,2,6,0,Blank,0,04.07.24,8
1,76,2_7_8,2,7,10.00193,Sulphate,27,04.07.24,8
1,77,2_8_8,2,8,10.00358,Sulfur,19,04.07.24,8
1,78,2_1_22,2,1,10.00387,Control,0,18.07.24,22
1,79,2_2_22,2,2,10.00521,Control,0,18.07.24,22
1,80,2_3_22,2,3,9.99834,Sulphate,27,18.07.24,22
1,81,2_4_22,2,4,9.99669,Sulfur,19,18.07.24,22
1,82,2_5_22,2,5,0,Blank,0,18.07.24,22
1,83,2_6_22,2,6,0,Blank,0,18.07.24,22
1,84,2_7_22,2,7,10.00193,Sulphate,27,18.07.24,22
1,85,2_8_22,2,8,10.00358,Sulfur,19,18.07.24,22
1,86,2_1_36,2,1,10.00387,Control,0,01.08.24,36
1,87,2_2_36,2,2,10.00521,Control,0,01.08.24,36
1,88,2_3_36,2,3,9.99834,Sulphate,27,01.08.24,36
1,89,2_4_36,2,4,9.99669,Sulfur,19,01.08.24,36
1,90,2_5_36,2,5,0,Blank,0,01.08.24,36
1,91,2_6_36,2,6,0,Blank,0,01.08.24,36
1,92,2_7_36,2,7,10.00193,Sulphate,27,01.08.24,36
1,93,2_8_36,2,8,10.00358,Sulfur,19,01.08.24,36
1,94,2_1_50,2,1,10.00387,Control,0,15.08.24,50
1,95,2_2_50,2,2,10.00521,Control,0,15.08.24,50
1,96,2_3_50,2,3,9.99834,Sulphate,27,15.08.24,50
1,97,2_4_50,2,4,9.99669,Sulfur,19,15.08.24,50
1,98,2_5_50,2,5,0,Blank,0,15.08.24,50
1,99,2_6_50,2,6,0,Blank,0,15.08.24,50
1,100,2_7_50,2,7,10.00193,Sulphate,27,15.08.24,50
1,101,2_8_50,2,8,10.00358,Sulfur,19,15.08.24,50
1,102,2_1_64,2,1,10.00387,Control,0,29.08.24,64
1,103,2_2_64,2,2,10.00521,Control,0,29.08.24,64
1,104,2_3_64,2,3,9.99834,Sulphate,27,29.08.24,64
1,105,2_4_64,2,4,9.99669,Sulfur,19,29.08.24,64
1,106,2_5_64,2,5,0,Blank,0,29.08.24,64
1,107,2_6_64,2,6,0,Blank,0,29.08.24,64
1,108,2_7_64,2,7,10.00193,Sulphate,27,29.08.24,64
1,109,2_8_64,2,8,10.00358,Sulfur,19,29.08.24,64
1,110,2_1_78,2,1,10.00387,Control,0,12.09.24,78
1,111,2_2_78,2,2,10.00521,Control,0,12.09.24,78
1,112,2_3_78,2,3,9.99834,Sulphate,27,12.09.24,78
1,113,2_4_78,2,4,9.99669,Sulfur,19,12.09.24,78
1,114,2_5_78,2,5,0,Blank,0,12.09.24,78
1,115,2_6_78,2,6,0,Blank,0,12.09.24,78
1,116,2_7_78,2,7,10.00193,Sulphate,27,12.09.24,78
1,117,2_8_78,2,8,10.00358,Sulfur,19,12.09.24,78
1,118,2_1_92,2,1,10.00387,Control,0,26.09.24,92
1,119,2_2_92,2,2,10.00521,Control,0,26.09.24,92
1,120,2_3_92,2,3,9.99834,Sulphate,27,26.09.24,92
1,121,2_4_92,2,4,9.99669,Sulfur,19,26.09.24,92
1,122,2_5_92,2,5,0,Blank,0,26.09.24,92
1,123,2_6_92,2,6,0,Blank,0,26.09.24,92
1,124,2_7_92,2,7,10.00193,Sulphate,27,26.09.24,92
1,125,2_8_92,2,8,10.00358,Sulfur,19,26.09.24,92
1,126,2_1_110,2,1,10.00387,Control,0,14.10.24,110
1,127,2_2_110,2,2,10.00521,Control,0,14.10.24,110
1,128,2_3_110,2,3,9.99834,Sulphate,27,14.10.24,110
1,129,2_4_110,2,4,9.99669,Sulfur,19,14.10.24,110
1,130,2_5_110,2,5,0,Blank,0,14.10.24,110
1,131,2_6_110,2,6,0,Blank,0,14.10.24,110
1,132,2_7_110,2,7,10.00193,Sulphate,27,14.10.24,110
1,133,2_8_110,2,8,10.00358,Sulfur,19,14.10.24,110
1,134,2_1_134,2,1,10.00387,Control,0,07.11.24,134
1,135,2_2_134,2,2,10.00521,Control,0,07.11.24,134
1,136,2_3_134,2,3,9.99834,Sulphate,27,07.11.24,134
1,137,2_4_134,2,4,9.99669,Sulfur,19,07.11.24,134
1,138,2_5_134,2,5,0,Blank,0,07.11.24,134
1,139,2_6_134,2,6,0,Blank,0,07.11.24,134
1,140,2_7_134,2,7,10.00193,Sulphate,27,07.11.24,134
1,141,2_8_134,2,8,10.00358,Sulfur,19,07.11.24,134
1,142,2_1_166,2,1,10.00387,Control,0,09.12.24,166
1,143,2_2_166,2,2,10.00521,Control,0,09.12.24,166
1,144,2_3_166,2,3,9.99834,Sulphate,27,09.12.24,166
1,145,2_4_166,2,4,9.99669,Sulfur,19,09.12.24,166
1,146,2_5_166,2,5,0,Blank,0,09.12.24,166
1,147,2_6_166,2,6,0,Blank,0,09.12.24,166
2,1,2_7_166,2,7,10.00193,Sulphate,27,09.12.24,166
2,2,2_8_166,2,8,10.00358,Sulfur,19,09.12.24,166
2,3,2_1_194,2,1,10.00387,Control,0,06.01.25,194
2,4,2_2_194,2,2,10.00521,Control,0,06.01.25,194
2,5,2_3_194,2,3,9.99834,Sulphate,27,06.01.25,194
2,6,2_4_194,2,4,9.99669,Sulfur,19,06.01.25,194
2,7,2_5_194,2,5,0,Blank,0,06.01.25,194
2,8,2_6_194,2,6,0,Blank,0,06.01.25,194
2,9,2_7_194,2,7,10.00193,Sulphate,27,06.01.25,194
2,10,2_8_194,2,8,10.00358,Sulfur,19,06.01.25,194
2,11,2_1_217,2,1,10.00387,Control,0,29.01.25,217
2,12,2_2_217,2,2,10.00521,Control,0,29.01.25,217
2,13,2_3_217,2,3,9.99834,Sulphate,27,29.01.25,217
2,14,2_4_217,2,4,9.99669,Sulfur,19,29.01.25,217
2,15,2_5_217,2,5,0,Blank,0,29.01.25,217
2,16,2_6_217,2,6,0,Blank,0,29.01.25,217
2,17,2_7_217,2,7,10.00193,Sulphate,27,29.01.25,217
2,18,2_8_217,2,8,10.00358,Sulfur,19,29.01.25,217
2,19,3_1_0,3,1,0.528298335,Fresh,0,13.08.24,0
2,20,3_2_0,3,2,0.89948,Dry,0,13.08.24,0
2,21,3_3_0,3,3,0.968969075,Fresh,0,13.08.24,0
2,22,3_4_0,3,4,1.03388,Dry,0,13.08.24,0
2,23,3_5_0,3,5,0.594348534,Fresh,0,13.08.24,0
2,24,3_6_0,3,6,0.67495,Dry,0,13.08.24,0
2,25,3_1_2,3,1,0.528298335,Fresh,0,15.08.24,2
2,26,3_2_2,3,2,0.89948,Dry,0,15.08.24,2
2,27,3_3_2,3,3,0.968969075,Fresh,0,15.08.24,2
2,28,3_4_2,3,4,1.03388,Dry,0,15.08.24,2
2,29,3_5_2,3,5,0.594348534,Fresh,0,15.08.24,2
2,30,3_6_2,3,6,0.67495,Dry,0,15.08.24,2
2,31,3_1_16,3,1,0.528298335,Fresh,0,29.08.24,16
2,32,3_2_16,3,2,0.89948,Dry,0,29.08.24,16
2,33,3_3_16,3,3,0.968969075,Fresh,0,29.08.24,16
2,34,3_4_16,3,4,1.03388,Dry,0,29.08.24,16
2,35,3_5_16,3,5,0.594348534,Fresh,0,29.08.24,16
2,36,3_6_16,3,6,0.67495,Dry,0,29.08.24,16
2,37,3_1_30,3,1,0.528298335,Fresh,0,12.09.24,30
2,38,3_2_30,3,2,0.89948,Dry,0,12.09.24,30
2,39,3_3_30,3,3,0.968969075,Fresh,0,12.09.24,30
2,40,3_4_30,3,4,1.03388,Dry,0,12.09.24,30
2,41,3_5_30,3,5,0.594348534,Fresh,0,12.09.24,30
2,42,3_6_30,3,6,0.67495,Dry,0,12.09.24,30
2,43,3_1_44,3,1,0.528298335,Fresh,0,26.09.24,44
2,44,3_2_44,3,2,0.89948,Dry,0,26.09.24,44
2,45,3_3_44,3,3,0.968969075,Fresh,0,26.09.24,44
2,46,3_4_44,3,4,1.03388,Dry,0,26.09.24,44
2,47,3_5_44,3,5,0.594348534,Fresh,0,26.09.24,44
2,48,3_6_44,3,6,0.67495,Dry,0,26.09.24,44
2,49,3_1_58,3,1,0.528298335,Fresh,0,10.10.24,58
2,50,3_2_58,3,2,0.89948,Dry,0,10.10.24,58
2,51,3_3_58,3,3,0.968969075,Fresh,0,10.10.24,58
2,52,3_4_58,3,4,1.03388,Dry,0,10.10.24,58
2,53,3_5_58,3,5,0.594348534,Fresh,0,10.10.24,58
2,54,3_6_58,3,6,0.67495,Dry,0,10.10.24,58
2,55,3_1_118,3,1,0.528298335,Fresh,0,09.12.24,118
2,56,3_2_118,3,2,0.89948,Dry,0,09.12.24,118
2,57,3_3_118,3,3,0.968969075,Fresh,0,09.12.24,118
2,58,3_4_118,3,4,1.03388,Dry,0,09.12.24,118
2,59,3_5_118,3,5,0.594348534,Fresh,0,09.12.24,118
2,60,3_6_118,3,6,0.67495,Dry,0,09.12.24,118
2,61,3_1_146,3,1,0.528298335,Fresh,0,06.01.25,146
2,62,3_2_146,3,2,0.89948,Dry,0,06.01.25,146
2,63,3_3_146,3,3,0.968969075,Fresh,0,06.01.25,146
2,64,3_4_146,3,4,1.03388,Dry,0,06.01.25,146
2,65,3_5_146,3,5,0.594348534,Fresh,0,06.01.25,146
2,66,3_6_146,3,6,0.67495,Dry,0,06.01.25,146
2,67,3_1_169,3,1,0.528298335,Fresh,0,29.01.25,169
2,68,3_2_169,3,2,0.89948,Dry,0,29.01.25,169
2,69,3_3_169,3,3,0.968969075,Fresh,0,29.01.25,169
2,70,3_4_169,3,4,1.03388,Dry,0,29.01.25,169
2,71,3_5_169,3,5,0.594348534,Fresh,0,29.01.25,169
2,72,3_6_169,3,6,0.67495,Dry,0,29.01.25,169
